Time,Unnamed: 0,#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD,Time
2018-12-03 03:30:00,1,2018,12,3,3,30,1.6,1.2,11.8,1.0,9.1,W,W,SWELL,8.6,276,2018-12-03 03:30:00
2018-12-03 03:00:00,2,2018,12,3,3,0,1.6,1.3,12.5,1.0,8.7,W,W,SWELL,8.8,270,2018-12-03 03:00:00
2018-12-03 02:30:00,3,2018,12,3,2,30,1.7,1.3,12.5,1.0,9.5,W,WNW,SWELL,8.7,273,2018-12-03 02:30:00
2018-12-03 01:30:00,4,2018,12,3,1,30,1.6,1.3,12.5,1.0,9.1,W,W,SWELL,8.4,274,2018-12-03 01:30:00
2018-12-03 01:00:00,5,2018,12,3,1,0,1.6,1.2,12.5,1.1,9.1,W,WNW,SWELL,8.0,280,2018-12-03 01:00:00
2018-12-03 00:30:00,6,2018,12,3,0,30,1.7,1.4,13.3,1.1,8.0,W,W,SWELL,8.4,271,2018-12-03 00:30:00
2018-12-03 00:00:00,7,2018,12,3,0,0,1.7,1.4,13.3,1.1,8.7,W,W,SWELL,8.3,272,2018-12-03 00:00:00
2018-12-02 23:30:00,8,2018,12,2,23,30,1.6,1.2,13.3,1.1,9.5,W,W,SWELL,8.0,272,2018-12-02 23:30:00
2018-12-02 23:00:00,9,2018,12,2,23,0,1.7,1.2,13.3,1.2,9.5,W,W,SWELL,7.9,272,2018-12-02 23:00:00
2018-12-02 22:30:00,10,2018,12,2,22,30,1.7,1.2,11.1,1.2,9.1,W,WNW,SWELL,7.8,281,2018-12-02 22:30:00
2018-12-02 22:00:00,11,2018,12,2,22,0,1.8,1.4,13.3,1.1,9.5,W,W,SWELL,8.3,273,2018-12-02 22:00:00
2018-12-02 21:30:00,12,2018,12,2,21,30,1.7,1.3,13.3,1.1,9.5,W,W,SWELL,8.2,277,2018-12-02 21:30:00
2018-12-02 21:00:00,13,2018,12,2,21,0,1.7,1.3,11.8,1.2,9.1,W,W,SWELL,8.2,281,2018-12-02 21:00:00
2018-12-02 20:30:00,14,2018,12,2,20,30,1.9,1.5,13.3,1.2,9.5,W,W,SWELL,8.4,274,2018-12-02 20:30:00
2018-12-02 20:00:00,15,2018,12,2,20,0,1.7,1.3,13.3,1.2,8.7,W,W,SWELL,8.2,270,2018-12-02 20:00:00
2018-12-02 19:30:00,16,2018,12,2,19,30,1.8,1.3,13.3,1.3,9.5,W,W,SWELL,8.1,275,2018-12-02 19:30:00
2018-12-02 19:00:00,17,2018,12,2,19,0,1.9,1.3,13.3,1.3,8.7,W,W,SWELL,8.1,277,2018-12-02 19:00:00
2018-12-02 18:30:00,18,2018,12,2,18,30,1.9,1.4,11.8,1.3,9.1,W,W,SWELL,8.1,277,2018-12-02 18:30:00
2018-12-02 18:00:00,19,2018,12,2,18,0,1.8,1.3,11.8,1.2,9.5,W,W,SWELL,7.8,278,2018-12-02 18:00:00
2018-12-02 17:30:00,20,2018,12,2,17,30,2.0,1.5,11.8,1.3,9.1,W,W,SWELL,8.1,281,2018-12-02 17:30:00
2018-12-02 17:00:00,21,2018,12,2,17,0,1.9,1.4,12.5,1.4,9.5,W,WNW,SWELL,8.0,281,2018-12-02 17:00:00
2018-12-02 16:30:00,22,2018,12,2,16,30,1.9,1.4,11.8,1.3,9.5,WNW,W,SWELL,7.8,290,2018-12-02 16:30:00
2018-12-02 16:00:00,23,2018,12,2,16,0,1.9,1.3,12.5,1.3,9.5,WNW,WNW,SWELL,7.8,287,2018-12-02 16:00:00
2018-12-02 15:30:00,24,2018,12,2,15,30,1.9,1.5,12.5,1.3,8.3,W,WNW,SWELL,8.0,280,2018-12-02 15:30:00
2018-12-02 15:00:00,25,2018,12,2,15,0,2.0,1.4,12.5,1.4,9.5,WNW,WNW,SWELL,7.8,284,2018-12-02 15:00:00
2018-12-02 14:30:00,26,2018,12,2,14,30,2.1,1.6,11.8,1.3,9.1,WNW,W,SWELL,8.1,282,2018-12-02 14:30:00
2018-12-02 14:00:00,27,2018,12,2,14,0,2.0,1.5,11.1,1.4,8.7,WNW,WNW,SWELL,7.8,282,2018-12-02 14:00:00
2018-12-02 13:30:00,28,2018,12,2,13,30,2.1,1.5,11.8,1.4,9.5,W,WNW,SWELL,7.7,276,2018-12-02 13:30:00
2018-12-02 13:00:00,29,2018,12,2,13,0,2.4,1.8,11.8,1.5,9.5,W,WNW,SWELL,8.0,279,2018-12-02 13:00:00
